Player,MIN,PTS,AS,Res_pts_min,Res_as_min
パトリック・アウダ,25.377924528301882,15.622641509433961,2.0,4.226753991854546,-0.5304053961961572
パブロ・アギラール,26.15793103448276,11.53448275862069,2.3793103448275863,-0.2788895141312757,-0.23289612311048202
ファイパプ月瑠,20.428125000000005,3.7708333333333335,0.6666666666666666,-4.975761097776481,-1.3446418974976737
ベンジャミン・ローソン,24.151333333333337,8.866666666666667,1.4666666666666666,-1.8727095004683214,-0.9351032969497128
ベンドラメ礼生,22.540666666666667,10.3,4.483333333333333,0.422704820227942,2.250477678133956
ペリン・ビュフォード,23.858541666666664,13.541666666666666,3.9166666666666665,2.959002086302151,1.545602436836667
マット・ボンズ,15.230000000000002,7.285714285714286,1.0714285714285714,1.3213247795439935,-0.3947406987952926
マティアス・カルファニ,15.38185185185185,6.7407407407407405,1.6666666666666667,0.6950752032931309,0.18457234437074388
マーク・セントフォート,11.483913043478264,7.043478260869565,0.782608695652174,3.084115871147315,-0.29069984141927707
ムッサ・ダマ,15.365714285714287,7.571428571428571,0.7142857142857143,1.534400382252592,-0.7661162244276379
ヤンジェミン,7.450000000000001,2.1956521739130435,0.2608695652173913,0.39537074825821916,-0.3893932566511708
ライアン・ケリー,28.415102040816326,21.06122448979592,2.6122448979591835,8.039741159643075,-0.23667627166374094
ライアン・ロシター,24.07357142857143,12.875,4.071428571428571,2.1772445238644114,1.6778136771607306
ラシードファラーズ,0.725,0.0,0.0,1.799156471705912,0.05500335617634877
リチャード・ソロモン,21.599523809523806,14.357142857142858,1.119047619047619,4.983577828572342,-1.015108225616232
リチャード・ヘンドリックス,30.943,12.2,3.5,-2.174496224568692,0.38597237206317203
リード・トラビス,27.048837209302327,16.46511627906977,1.2093023255813953,4.174902155219181,-1.4963355167673207
ルーク・エヴァンス,24.6975,10.5,1.75,-0.5317022635327859,-0.7090477149287251
レイヴォンテ・ライス,25.609607843137244,19.980392156862745,2.7254901960784315,8.460500222390458,0.1707876391431351
レオ・ライオンズ,29.833673469387758,15.755102040816327,3.6122448979591835,1.9743533188250932,0.6145548882303435
レジナルド・ベクトン,24.836226415094334,11.075471698113208,1.6037735849056605,-0.030481437665754285,-0.8698226874308645
ロスコ・アレン,27.86925925925926,17.074074074074073,2.4444444444444446,4.344743486514137,-0.3472329404406129
ロバート・カーター,29.656222222222222,17.42222222222222,3.2222222222222223,3.7364511573286165,0.24314193188040667
三ツ井利也,22.690416666666668,2.9375,0.6458333333333334,-7.019946231835966,-1.6027269479124713
上澤俊喜,2.3354545454545454,0.7272727272727273,0.2727272727272727,1.664461745761398,0.15883856612476926
下山貴裕,7.848000000000001,0.6,0.2,-1.413303921290448,-0.49200199493352476
並里成,20.604200000000002,8.26,3.94,-0.580835476132533,1.9102260466461791
中務敏宏,1.589803921568627,0.5686274509803921,0.058823529411764705,1.9049128432691596,0.02313291435793409
中山拓哉,22.823035714285716,6.75,3.1607142857142856,-3.2784282431239795,0.8982459406989278
中村拓人,1.88,0.38461538461538464,0.38461538461538464,1.565578433057111,0.318491241068035
中村浩陸,18.00685185185185,4.333333333333333,1.9074074074074074,-3.117317256987424,0.1500233130121702
中東泰斗,20.75925,4.8,1.85,-4.123823259922241,-0.1960344025591536
